Animal_ID,ToeClip,BC_Cage,Treatment,Week,Regeneration
BC039,1455,32,DR.IGF1,1,0
BC048,1513,28,AdLib,1,0
BC099,1/2111,9,AdLib,1,0
BC121,2203,32,DR.IGF1,1,0
BC144,2301,39,DR,1,0
BC158,2330,28,DR.IGF2,1,0
BC161,2333,8,AdLib,1,0
BC174,2411,36,DR.IGF1,1,0
BC181,2425,39,DR,1,0
BC184,2432,39,DR,1,0
BC197,2510,28,DR.IGF1,1,NA
BC205,2523,15,DR.IGF2,1,0
BC211,2550,28,AdLib,1,0
BC214,2555,8,DR,1,0
BC234,3505,NA,DR.IGF1,1,NA
BC260,3150,32,DR,1,NA
BC265,3200,11,DR.IGF1,1,0
BC266,3201,11,DR.IGF2,1,0
BC268,3203,11,DR,1,0
BC272,3212,11,DR.IGF2,1,0
BC274,3215,11,AdLib,1,0
BC275,3220,8,AdLib,1,0
BC276,3221,11,AdLib,1,0
BC280,3230,11,DR.IGF1,1,0
BC284,3235,36,AdLib,1,NA
BC288,3253,32,DR.IGF1,1,NA
BC290,3300,32,DR.IGF2,1,0
BC298,3313,36,DR.IGF2,1,0
BC312,3351,28,DR.IGF2,1,0
BC315,3355,15,DR,1,0
BC316,3400,8,DR.IGF2,1,NA
BC322,3411,15,DR,1,NA
BC327,3421,32,DR.IGF1,1,0
BC333,3435,36,AdLib,1,0
BC335,3451,35,AdLib,1,0
BC336,3452,35,DR.IGF2,1,0
BC337,3453,35,DR.IGF2,1,0
BC338,3455,35,DR,1,0
BC344,3510,31,DR.IGF2,1,0
BC350,3521,29,DR.IGF2,1,NA
BC351,3522,29,DR,1,0
BC352,3523,29,DR.IGF2,1,0
BC360,3551,25,DR,1,0
BC361,3552,25,AdLib,1,0
BC362,3555,25,DR.IGF1,1,0
BC364,4000,25,DR,1,0
BC380,4031,20,DR,1,NA
BC383,4035,20,DR,1,0
BC384,4050,19,AdLib,1,NA
BC386,4052,19,DR,1,0
BC392,4103,39,DR.IGF2,1,0
BC393,4105,39,DR.IGF1,1,0
BC401,4122,32,DR.IGF1,1,NA
BC402,4123,28,DR.IGF2,1,0
BC403,4125,28,AdLib,1,0
BC410,4151,18,AdLib,1,0
BC413,4155,18,DR.IGF1,1,0
BC433,4250,45,DR.IGF1,1,0
BC434,4251,45,AdLib,1,0
BC435,4252,45,DR.IGF2,1,0
BC436,4253,45,DR,1,0
BC452,4325,45,DR.IGF1,1,0
BC457,4335,46,AdLib,1,0
BC460,4352,46,DR.IGF1,1,0
BC461,4353,46,DR.IGF1,1,0
BC464,4401,46,DR.IGF1,1,0
BC475,4503,50,DR,1,0
BC476,4505,50,AdLib,1,0
BC477,4510,50,AdLib,1,0
BC512,5030,59,DR.IGF2,1,0
BC535,5133,39,AdLib,1,0
BC539,5152,28,DR.IGF2,1,NA
