Animal_ID,ToeClip,BC_Cage,Treatment,Week,SVL,Mass,Bcond
BC039,1455,32,DR.IGF1,,46,2.566,0.055782609
BC048,1513,28,AdLib,,48,2.713,0.056520833
BC099,1/2111,9,AdLib,,48,3.675,0.0765625
BC158,2330,28,DR.IGF2,,44,2.638,0.059954545
BC161,2333,8,AdLib,,42,2.461,0.058595238
BC174,2411,36,DR.IGF1,,47,3.233,0.068787234
BC181,2425,39,DR,,51,2.698,0.052901961
BC184,2432,39,DR,,46,3.058,0.066478261
BC197,2510,28,DR.IGF1,,45,2.76,0.061333333
BC205,2523,15,DR.IGF2,,47,2.833,0.060276596
BC211,2550,28,AdLib,,46,3.015,0.065543478
BC214,2555,8,DR,,46,3.399,0.073891304
BC234,3505,NA,DR.IGF1,,45,3.306,0.073466667
BC260,3150,32,DR,,43,2.819,0.06555814
BC265,3200,11,DR.IGF1,,46,2.805,0.060978261
BC266,3201,11,DR.IGF2,,49,3.001,0.061244898
BC268,3203,11,DR,,49,3.886,0.079306122
BC272,3212,11,DR.IGF2,,46,2.973,0.064630435
BC274,3215,11,AdLib,,47,2.999,0.063808511
BC275,3220,8,AdLib,,46,2.231,0.0485
BC276,3221,11,AdLib,,45,2.758,0.061288889
BC280,3230,11,DR.IGF1,,50,3.443,0.06886
BC284,3235,36,AdLib,,43,2.22,0.051627907
BC288,3253,32,DR.IGF1,,47,2.932,0.062382979
BC290,3300,32,DR.IGF2,,45,2.594,0.057644444
BC298,3313,36,DR.IGF2,,47,2.316,0.049276596
BC312,3351,28,DR.IGF2,,45,2.332,0.051822222
BC315,3355,15,DR,,47,3.732,0.079404255
BC316,3400,8,DR.IGF2,,48,3.824,0.079666667
BC322,3411,15,DR,,46,2.412,0.052434783
BC327,3421,32,DR.IGF1,,47,3.022,0.064297872
BC333,3435,36,AdLib,,42,2.114,0.050333333
BC335,3451,35,AdLib,,48,2.125,0.044270833
BC336,3452,35,DR.IGF2,,47,2.799,0.059553191
BC337,3453,35,DR.IGF2,,46,2.931,0.063717391
BC338,3455,35,DR,,45,2.666,0.059244444
BC344,3510,31,DR.IGF2,,46,3.155,0.068586957
BC350,3521,29,DR.IGF2,,48,2.167,0.045145833
BC351,3522,29,DR,,50,4.269,0.08538
BC352,3523,29,DR.IGF2,,48,3.238,0.067458333
BC360,3551,25,DR,,47,3.273,0.069638298
BC361,3552,25,AdLib,,49,3.157,0.064428571
BC362,3555,25,DR.IGF1,,45,2.533,0.056288889
BC364,4000,25,DR,,44,2.195,0.049886364
BC380,4031,20,DR,,46,3.202,0.069608696
BC384,4050,19,AdLib,,46,3.461,0.07523913
BC386,4052,19,DR,,45,2.795,0.062111111
BC392,4103,39,DR.IGF2,,47,3.301,0.070234043
BC393,4105,39,DR.IGF1,,45,2.645,0.058777778
BC401,4122,32,DR.IGF1,,45,3.254,0.072311111
BC402,4123,28,DR.IGF2,,47,3.384,0.072
BC403,4125,28,AdLib,,43,2.696,0.062697674
BC410,4151,18,AdLib,,47,3.014,0.06412766
BC413,4155,18,DR.IGF1,,47,2.94,0.062553191
BC433,4250,45,DR.IGF1,,46,2.934,0.063782609
BC434,4251,45,AdLib,,43,2.348,0.054604651
BC435,4252,45,DR.IGF2,,48,3.698,0.077041667
BC436,4253,45,DR,,45,3.18,0.070666667
BC452,4325,45,DR.IGF1,,49,3.492,0.071265306
BC457,4335,46,AdLib,,47,3.31,0.070425532
BC460,4352,46,DR.IGF1,,47,3.319,0.070617021
BC461,4353,46,DR.IGF1,,47,3.201,0.068106383
BC464,4401,46,DR.IGF1,,45,2.532,0.056266667
BC475,4503,50,DR,,46,2.674,0.058130435
BC476,4505,50,AdLib,,47,2.308,0.049106383
BC477,4510,50,AdLib,,49,3.998,0.081591837
BC512,5030,59,DR.IGF2,,49,2.604,0.053142857
BC535,5133,39,AdLib,,43,2.588,0.060186047
BC539,5152,28,DR.IGF2,,46,2.847,0.061891304
BC546,5205,29,DR.IGF2,,45,3.03,0.067333333
BC556,5225,50,DR.IGF1,,46,2.856,0.062086957
BC560,5233,NA,DR.IGF1,,44,2.545,0.057840909
BC563,5251,NA,DR.IGF1,,45,2.774,0.061644444
BC566,5255,59,AdLib,,49,3.465,0.070714286
BC514,5032,59,DR,,46,2.944,0.064
BC538,5151,32,DR,,45,2.338,0.051955556
