Animal_ID,ToeClip,BC_Cage,Treatment,Tail,SVL,Week,Mass,Dose,Perc.WeightLoss,Regeneration,Rate_Reg,Rate_Perc,Perc.Regeneration,Eggs 
BC039,1455,32,DR.IGF1,73,46,1,2.104,2.376425856,18.00467654,0,,,0,0
BC039,1455,32,DR.IGF1,73,46,2,2.07,2.376425856,19.32969602,0.15,0.15,0.217391304,0.217391304,1
BC039,1455,32,DR.IGF1,73,46,3,2.099,2.376425856,18.19953235,6,5.85,8.47826087,8.695652174,0
BC039,1455,32,DR.IGF1,73,46,4,2.099,2.376425856,18.19953235,11,5,7.246376812,15.94202899,0
BC039,1455,32,DR.IGF1,73,46,5,2.24,2.376425856,12.7045986,16,5,7.246376812,23.1884058,0
BC039,1455,32,DR.IGF1,73,46,6,2.222,2.376425856,13.4060795,20,4,5.797101449,28.98550725,0
BC039,1455,32,DR.IGF1,73,46,7,2.061,2.376425856,19.68043648,22,2,2.898550725,31.88405797,0
BC039,1455,32,DR.IGF1,73,46,8,2.266,2.376425856,11.6913484,24,2,2.898550725,34.7826087,0
BC048,1513,28,AdLib,69,48,1,2.215,0,18.3560634,0,,,0,0
BC048,1513,28,AdLib,69,48,2,2.389,0,11.94249908,0.1,0.1,0.166666667,0.166666667,0
BC048,1513,28,AdLib,69,48,3,2.349,0,13.41688168,8,7.9,13.16666667,13.33333333,0
BC048,1513,28,AdLib,69,48,4,2.343,0,13.63803907,14,6,10,23.33333333,0
BC048,1513,28,AdLib,69,48,5,,0,,,,,,
BC048,1513,28,AdLib,69,48,6,,0,,,,,,
BC048,1513,28,AdLib,69,48,7,,0,,,,,,
BC048,1513,28,AdLib,69,48,8,,0,,,,,,
BC099,11-Jan,9,AdLib,82,48,1,3.363,0,8.489795918,0,,,0,0
BC099,11-Jan,9,AdLib,82,48,2,3.589,0,2.340136054,0.15,0.15,0.205479452,0.205479452,2
BC099,11-Jan,9,AdLib,82,48,3,3.44,0,6.394557823,5,4.85,6.643835616,6.849315068,0
BC099,11-Jan,9,AdLib,82,48,4,3.418,0,6.993197279,10,5,6.849315068,13.69863014,0
BC099,11-Jan,9,AdLib,82,48,5,3.389,0,7.782312925,13,3,4.109589041,17.80821918,1
BC099,11-Jan,9,AdLib,82,48,6,3.369,0,8.326530612,17,4,5.479452055,23.28767123,0
BC099,11-Jan,9,AdLib,82,48,7,3.423,0,6.857142857,17,0,0,23.28767123,0
BC099,11-Jan,9,AdLib,82,48,8,3.406,0,7.319727891,20,3,4.109589041,27.39726027,0
BC121,2203,32,DR.IGF1,84,48,1,2.046,2.443792766,21.30769231,0,,,0,0
BC121,2203,32,DR.IGF1,84,48,2,2.065,2.443792766,20.57692308,0.05,0.05,0.065789474,0.065789474,0
BC121,2203,32,DR.IGF1,84,48,3,1.878,2.443792766,27.76923077,4.5,4.45,5.855263158,5.921052632,0
BC121,2203,32,DR.IGF1,84,48,4,1.981,2.443792766,23.80769231,9,4.5,5.921052632,11.84210526,0
BC121,2203,32,DR.IGF1,84,48,5,2.044,2.443792766,21.38461538,11,2,2.631578947,14.47368421,0
BC121,2203,32,DR.IGF1,84,48,6,1.941,2.443792766,25.34615385,13,2,2.631578947,17.10526316,0
BC121,2203,32,DR.IGF1,84,48,7,2.124,2.443792766,18.30769231,19.5,6.5,8.552631579,25.65789474,0
BC121,2203,32,DR.IGF1,84,48,8,,2.443792766,,,,,,
BC144,2301,39,DR,80,44,1,2.025,0,23.81489842,0,,,0,0
BC144,2301,39,DR,80,44,2,2.078,0,21.82091798,0.1,0.1,0.14084507,0.14084507,0
BC144,2301,39,DR,80,44,3,2.022,0,23.92776524,6,5.9,8.309859155,8.450704225,0
BC144,2301,39,DR,80,44,4,1.781,0,32.99473288,10,4,5.633802817,14.08450704,0
BC144,2301,39,DR,80,44,5,2.164,0,18.58540256,19,9,12.67605634,26.76056338,0
BC144,2301,39,DR,80,44,6,,0,,,,,,
BC144,2301,39,DR,80,44,7,,0,,,,,,
BC144,2301,39,DR,80,44,8,,0,,,,,,
BC158,2330,28,DR.IGF2,71,44,1,2.158,2.316960148,18.19560273,0,,,0,0
BC158,2330,28,DR.IGF2,71,44,2,2.175,2.316960148,17.55117513,0.2,0.2,0.322580645,0.322580645,0
BC158,2330,28,DR.IGF2,71,44,3,2.104,2.316960148,20.24260804,6.5,6.3,10.16129032,10.48387097,0
BC158,2330,28,DR.IGF2,71,44,4,2.182,2.316960148,17.28582259,10,3.5,5.64516129,16.12903226,0
BC158,2330,28,DR.IGF2,71,44,5,2.201,2.316960148,16.56557998,13,3,4.838709677,20.96774194,0
BC158,2330,28,DR.IGF2,71,44,6,2.26,2.316960148,14.32903715,14,1,1.612903226,22.58064516,0
BC158,2330,28,DR.IGF2,71,44,7,2.269,2.316960148,13.9878696,16,2,3.225806452,25.80645161,0
BC158,2330,28,DR.IGF2,71,44,8,2.425,2.316960148,8.074298711,17,1,1.612903226,27.41935484,0
BC161,2333,8,AdLib,74,42,1,2.063,0,16.17228769,0,,,0,0
BC161,2333,8,AdLib,74,42,2,2.198,0,10.68671272,0.1,0.1,0.15625,0.15625,0
BC161,2333,8,AdLib,74,42,3,2.072,0,15.80658269,5,4.9,7.65625,7.8125,0
BC161,2333,8,AdLib,74,42,4,2.063,0,16.17228769,9.5,4.5,7.03125,14.84375,0
BC161,2333,8,AdLib,74,42,5,2.183,0,11.29622105,18,8.5,13.28125,28.125,0
BC161,2333,8,AdLib,74,42,6,,0,,,,,,
BC161,2333,8,AdLib,74,42,7,,0,,,,,,
BC161,2333,8,AdLib,74,42,8,,0,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,1,1.85,2.702702703,42.77760594,0,,,0,0
BC174,2411,36,DR.IGF1,79.5,47,2,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,3,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,4,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,5,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,6,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,7,,2.702702703,,,,,,
BC174,2411,36,DR.IGF1,79.5,47,8,,2.702702703,,,,,,
BC181,2425,39,DR,85,51,1,2.237,0,17.08673091,0,,,0,0
BC181,2425,39,DR,85,51,2,2.377,0,11.897702,0.1,0.1,0.131578947,0.131578947,0
BC181,2425,39,DR,85,51,3,2.296,0,14.89992587,10,9.9,13.02631579,13.15789474,0
BC181,2425,39,DR,85,51,4,2.237,0,17.08673091,10,0,0,13.15789474,0
BC181,2425,39,DR,85,51,5,2.285,0,15.30763529,11,1,1.315789474,14.47368421,0
BC181,2425,39,DR,85,51,6,2.043,0,24.2772424,13,2,2.631578947,17.10526316,0
BC181,2425,39,DR,85,51,7,2.168,0,19.64418087,14,1,1.315789474,18.42105263,0
BC181,2425,39,DR,85,51,8,2.325,0,13.8250556,15,1,1.315789474,19.73684211,0
BC184,2432,39,DR,60,46,1,2.458,0,19.6206671,0,,,0,0
BC184,2432,39,DR,60,46,2,2.674,0,12.55722695,0.15,0.15,0.288461538,0.288461538,0
BC184,2432,39,DR,60,46,3,2.642,0,13.60366252,6.5,6.35,12.21153846,12.5,0
BC184,2432,39,DR,60,46,4,2.541,0,16.90647482,11,4.5,8.653846154,21.15384615,0
BC184,2432,39,DR,60,46,5,2.619,0,14.3557881,19.5,8.5,16.34615385,37.5,0
BC184,2432,39,DR,60,46,6,,0,,,,,,
BC184,2432,39,DR,60,46,7,,0,,,,,,
BC184,2432,39,DR,60,46,8,,0,,,,,,
BC197,2510,28,DR.IGF1,75.5,45,1,2.285,2.188183807,17.21014493,,,,0,0
BC197,2510,28,DR.IGF1,75.5,45,2,2.391,2.188183807,13.36956522,0.25,0.25,0.37037037,0.37037037,0
BC197,2510,28,DR.IGF1,75.5,45,3,2.241,2.188183807,18.80434783,8,7.75,11.48148148,11.85185185,0
BC197,2510,28,DR.IGF1,75.5,45,4,2.228,2.188183807,19.27536232,11,3,4.444444444,16.2962963,0
BC197,2510,28,DR.IGF1,75.5,45,5,2.216,2.188183807,19.71014493,19,8,11.85185185,28.14814815,0
BC197,2510,28,DR.IGF1,75.5,45,6,,2.188183807,,,,,,
BC197,2510,28,DR.IGF1,75.5,45,7,,2.188183807,,,,,,
BC197,2510,28,DR.IGF1,75.5,45,8,,2.188183807,,,,,,
BC205,2523,15,DR.IGF2,79,47,1,1.828,2.735229759,35.47476174,0,,,0,0
BC205,2523,15,DR.IGF2,79,47,2,2.038,2.735229759,28.06212496,0.05,0.05,0.069444444,0.069444444,0
BC205,2523,15,DR.IGF2,79,47,3,2.091,2.735229759,26.19131663,6,5.95,8.263888889,8.333333333,0
BC205,2523,15,DR.IGF2,79,47,4,1.98,2.735229759,30.10942464,11.5,5.5,7.638888889,15.97222222,0
BC205,2523,15,DR.IGF2,79,47,5,1.954,2.735229759,31.02717967,16,4.5,6.25,22.22222222,0
BC205,2523,15,DR.IGF2,79,47,6,1.891,2.735229759,33.2509707,19,3,4.166666667,26.38888889,0
BC205,2523,15,DR.IGF2,79,47,7,2.134,2.735229759,24.673491,21,2,2.777777778,29.16666667,0
BC205,2523,15,DR.IGF2,79,47,8,2.179,2.735229759,23.08506883,23,2,2.777777778,31.94444444,0
BC211,2550,28,AdLib,80,46,1,2.296,0,23.84742952,0,,,0,1
BC211,2550,28,AdLib,80,46,2,2.801,0,7.097844113,0.1,0.1,0.144927536,0.144927536,0
BC211,2550,28,AdLib,80,46,3,2.529,0,16.11940299,7,6.9,10,10.14492754,1
BC211,2550,28,AdLib,80,46,4,2.514,0,16.61691542,13,6,8.695652174,18.84057971,0
BC211,2550,28,AdLib,80,46,5,2.71,0,10.11608624,18.5,5.5,7.971014493,26.8115942,0
BC211,2550,28,AdLib,80,46,6,2.555,0,15.25704809,21,2.5,3.623188406,30.43478261,0
BC211,2550,28,AdLib,80,46,7,2.493,0,17.31343284,24,3,4.347826087,34.7826087,0
BC211,2550,28,AdLib,80,46,8,2.626,0,12.90215589,25,1,1.449275362,36.23188406,0
BC214,2555,8,DR,78,46,1,2.812,0,17.26978523,0,,,0,0
BC214,2555,8,DR,78,46,2,2.893,0,14.88673139,0.1,0.1,0.144927536,0.144927536,1
