Animal_ID,ToeClip,BC_Cage,Treatment,Diet,Week ,Mass,Bcond,Perc_BC.change,Delta Mass_Initial,Perc_WL,Perc_Orig
BC039,1455,32,DR.IGF1,DR,-4,2.566,0.055782609,,,0,100
BC048,1513,28,AdLib,Adlib,-4,2.713,0.056520833,,,0,100
BC099,11-Jan,9,AdLib,Adlib,-4,3.675,0.0765625,,,0,100
BC158,2330,28,DR.IGF2,DR,-4,2.638,0.059954545,,,0,100
BC161,2333,8,AdLib,Adlib,-4,2.461,0.058595238,,,0,100
BC174,2411,36,DR.IGF1,DR,-4,3.233,0.068787234,,,0,100
BC181,2425,39,DR,DR,-4,2.698,0.052901961,,,0,100
BC184,2432,39,DR,DR,-4,3.058,0.066478261,,,0,100
BC197,2510,28,DR.IGF1,DR,-4,2.76,0.061333333,,,0,100
BC205,2523,15,DR.IGF2,DR,-4,2.833,0.060276596,,,0,100
BC211,2550,28,AdLib,Adlib,-4,3.015,0.065543478,,,0,100
BC214,2555,8,DR,DR,-4,3.399,0.073891304,,,0,100
BC234,3505,NA,DR.IGF1,DR,-4,3.306,0.073466667,,,0,100
BC260,3150,32,DR,DR,-4,2.819,0.06555814,,,0,100
BC265,3200,11,DR.IGF1,DR,-4,2.805,0.060978261,,,0,100
BC266,3201,11,DR.IGF2,DR,-4,3.001,0.061244898,,,0,100
BC268,3203,11,DR,DR,-4,3.886,0.079306122,,,0,100
BC272,3212,11,DR.IGF2,DR,-4,2.973,0.064630435,,,0,100
BC274,3215,11,AdLib,Adlib,-4,2.999,0.063808511,,,0,100
BC275,3220,8,AdLib,Adlib,-4,2.231,0.0485,,,0,100
BC276,3221,11,AdLib,Adlib,-4,2.758,0.061288889,,,0,100
BC280,3230,11,DR.IGF1,DR,-4,3.443,0.06886,,,0,100
BC284,3235,36,AdLib,Adlib,-4,2.22,0.051627907,,,0,100
BC288,3253,32,DR.IGF1,DR,-4,2.932,0.062382979,,,0,100
BC290,3300,32,DR.IGF2,DR,-4,2.594,0.057644444,,,0,100
BC298,3313,36,DR.IGF2,DR,-4,2.316,0.049276596,,,0,100
BC312,3351,28,DR.IGF2,DR,-4,2.332,0.051822222,,,0,100
BC315,3355,15,DR,DR,-4,3.732,0.079404255,,,0,100
BC316,3400,8,DR.IGF2,DR,-4,3.824,0.079666667,,,0,100
BC322,3411,15,DR,DR,-4,2.412,0.052434783,,,0,100
BC327,3421,32,DR.IGF1,DR,-4,3.022,0.064297872,,,0,100
BC333,3435,36,AdLib,Adlib,-4,2.114,0.050333333,,,0,100
BC335,3451,35,AdLib,Adlib,-4,2.125,0.044270833,,,0,100
BC336,3452,35,DR.IGF2,DR,-4,2.799,0.059553191,,,0,100
BC337,3453,35,DR.IGF2,DR,-4,2.931,0.063717391,,,0,100
BC338,3455,35,DR,DR,-4,2.666,0.059244444,,,0,100
BC344,3510,31,DR.IGF2,DR,-4,3.155,0.068586957,,,0,100
BC350,3521,29,DR.IGF2,DR,-4,2.167,0.045145833,,,0,100
BC351,3522,29,DR,DR,-4,4.269,0.08538,,,0,100
BC352,3523,29,DR.IGF2,DR,-4,3.238,0.067458333,,,0,100
BC360,3551,25,DR,DR,-4,3.273,0.069638298,,,0,100
BC361,3552,25,AdLib,Adlib,-4,3.157,0.064428571,,,0,100
BC362,3555,25,DR.IGF1,DR,-4,2.533,0.056288889,,,0,100
BC364,4000,25,DR,DR,-4,2.195,0.049886364,,,0,100
BC380,4031,20,DR,DR,-4,3.202,0.069608696,,,0,100
BC384,4050,19,AdLib,Adlib,-4,3.461,0.07523913,,,0,100
BC386,4052,19,DR,DR,-4,2.795,0.062111111,,,0,100
BC392,4103,39,DR.IGF2,DR,-4,3.301,0.070234043,,,0,100
BC393,4105,39,DR.IGF1,DR,-4,2.645,0.058777778,,,0,100
BC401,4122,32,DR.IGF1,DR,-4,3.254,0.072311111,,,0,100
BC402,4123,28,DR.IGF2,DR,-4,3.384,0.072,,,0,100
BC403,4125,28,AdLib,Adlib,-4,2.696,0.062697674,,,0,100
BC410,4151,18,AdLib,Adlib,-4,3.014,0.06412766,,,0,100
BC413,4155,18,DR.IGF1,DR,-4,2.94,0.062553191,,,0,100
